datetime,cpu,memory,disk
2025-05-21 14:57:29,2.0,18.2,0.3
2025-05-21 15:15:45,0.8,18.1,0.3
2025-05-21 15:40:03,0.7,16.9,0.3
2025-05-21 15:47:02,0.6,16.5,0.3
2025-05-21 15:48:01,0.1,16.9,0.3
2025-05-21 15:49:01,1.0,16.7,0.3
2025-05-21 15:50:01,0.1,16.5,0.3
2025-05-21 15:51:01,0.0,16.5,0.3
2025-05-21 15:52:03,0.9,16.7,0.3
2025-05-21 15:53:01,1.0,16.9,0.3
2025-05-21 15:54:01,0.3,16.9,0.3
2025-05-21 15:55:01,0.4,16.8,0.3
2025-05-21 15:56:01,1.0,16.8,0.3
